# This file lists the snapshots in the public Data Release 1 (DR1)
# of the FIRE-2 simulations for the Core suite to z = 0.
# 39 snapshots from z = 0 to 10:
#     19 snapshots from z = 1 to 10, spaced every Delta z = 0.5
#     9 snapshots from z = 0.1 to 1, spaced every Delta z = 0.1
#     11 snapshots just before and including z = 0, spaced every 2.2 Myr
# All times below calculated using cosmology from AGORA:
#     Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455,
#     h = 0.702, sigma_8 = 0.807, n_s = 0.961
# but some Core simulations used slightly different cosmology,
# so refer to their snapshot_times.txt file for more accurate times
# (redshifts and scale-factors are the same for all simulations).
# Columns are:
# index scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
 20 0.090909101 10.000000000  0.487864655 13.310882228  12.6415
 23 0.095454499  9.476195335  0.524879981 13.273866902  12.4377
 26 0.100000001  9.000000000  0.562782034 13.235964849  12.7314
 29 0.104761899  8.545454979  0.603415278 13.195331605  13.6484
 33 0.111111097  8.000000954  0.659028989 13.139717894  14.0548
 37 0.118055597  7.470584869  0.721681192 13.077065692  15.8391
 41 0.125000000  7.000000000  0.786178422 13.012568461  16.2941
 46 0.133116901  6.512194157  0.863828699 12.934918184  15.7217
 52 0.142857105  6.000001907  0.960115146 12.838631737  16.2771
 59 0.153968304  5.494843006  1.073930436 12.724816448  16.5120
 67 0.166666701  5.000000000  1.208966221 12.589780663  17.1607
 77 0.182539701  4.478260517  1.384836170 12.413910713  17.9290
 88 0.200000003  4.000000000  1.586868535 12.211878348  18.7236
102 0.221874997  3.507042408  1.851836334 11.946910550  19.3436
120 0.250000000  3.000000000  2.210355460 11.588391424  20.4137
142 0.285256386  2.505618334  2.685277048 11.113469836  22.1551
172 0.333333313  2.000000238  3.372283523 10.426463361  23.5481
214 0.400000006  1.500000000  4.384677047  9.414069837  24.7593
277 0.500000000  1.000000000  5.988143665  7.810603219  25.9427
294 0.527070105  0.897280812  6.431944068  7.366802816  26.1671
312 0.555732489  0.799426913  6.903767256  6.894979628  26.2427
332 0.587579608  0.701897025  7.428769666  6.369977217  26.2432
356 0.625796199  0.597964287  8.057617597  5.741129287  26.1471
382 0.667197526  0.498806477  8.734765367  5.063981517  25.9338
412 0.714968204  0.398663640  9.507455785  4.291291098  25.5742
446 0.769108295  0.300207019 10.368135578  3.430611305  25.0535
486 0.832802474  0.200764894 11.355789171  2.442957713  24.3311
534 0.909235716  0.099824786 12.500601156  1.298145727  23.3771
590 0.998407602  0.001594901 13.776556456  0.022190428  22.2097
591 0.998566926  0.001435161 13.778777603  0.019969281   2.2211
592 0.998726130  0.001275539 13.780996879  0.017750005   2.2193
593 0.998885393  0.001115799 13.783216777  0.015530107   2.2199
594 0.999044597  0.000956297 13.785435635  0.013311249   2.2189
595 0.999203801  0.000796795 13.787654284  0.011092600   2.2186
596 0.999363124  0.000637293 13.789874384  0.008872499   2.2201
597 0.999522328  0.000477910 13.792092615  0.006654268   2.2182
598 0.999681473  0.000318646 13.794309806  0.004437077   2.2172
599 0.999840796  0.000159264 13.796529280  0.002217604   2.2195
600 1.000000000  0.000000000 13.798746883  0.000000000   2.2176
