GC_ID,quality,halo(z=0),logM(tform),zform,halo(zform),snapnum(zform),isMPB,feh,logM(z=0),t_dis,survive_flag,form_time,form_lbt,pubsnap(zform),last_snap,real_flag,accretion_flag,accretion_time,accretion_halo_tid,accretion_halo_cid,accretion_snapshot,pre_accretion_halo_tid,pre_accretion_halo_cid,pre_accretion_snapshot,survived_accretion,ptype,group_id
119809857,0,25236877,4.157,7.597,98380,36,1,-2.91,-1.0,1.803,0,0.705842128,13.092904755,37,99,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
122241197,0,25236877,4.388,7.229,118835,39,1,-2.849,-1.0,3.685,0,0.753702746,13.045044138,41,185,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119234262,0,25236877,4.07,6.897,141249,42,1,-2.825,-1.0,1.449,0,0.801516036,12.997230847,46,80,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
51356216,2,25236877,4.161,6.605,165925,45,1,-2.795,-1.0,3.7,0,0.848107044,12.950639839,46,185,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50617164,1,25236877,4.044,6.512,174633,46,1,-2.783,-1.0,4.958,0,0.863828699,12.934918184,46,236,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
120943055,0,25236877,4.062,6.422,183584,47,1,-2.778,-1.0,2.184,0,0.879644554,12.919102329,52,118,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119812963,0,25236877,4.17,5.923,243141,53,1,-2.613,-1.0,2.438,0,0.976118896,12.822627988,59,130,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
50802799,2,25236877,4.287,5.702,276806,56,1,-2.526,-1.0,2.565,0,1.02464412,12.774102763,59,136,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
49871906,2,25236877,4.246,5.632,288525,57,1,-2.51,-1.0,3.922,0,1.040989887,12.757756996,59,195,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
49106019,2,25236877,4.509,5.562,300642,58,1,-2.507,-1.0,6.59,0,1.057418477,12.741328407,59,300,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
120751151,0,25236877,4.254,5.495,313001,59,1,-2.492,-1.0,2.836,0,1.073930436,12.724816448,59,148,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119424859,0,25236877,4.474,5.429,325726,60,1,-2.48,-1.0,2.855,0,1.090525246,12.708221638,67,149,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120376251,0,25236877,4.28,5.238,365699,63,1,-2.457,-1.0,1.975,0,1.140801527,12.657945357,67,108,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119808307,0,25236877,4.271,5.238,365699,63,1,-2.457,-1.0,2.342,0,1.140801527,12.657945357,67,126,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119235285,0,25236877,4.258,5.0,423572,67,1,-2.393,-1.0,2.261,0,1.208966221,12.589780663,67,122,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119807798,0,25236877,4.307,5.0,423572,67,1,-2.393,-1.0,2.379,0,1.208966221,12.589780663,67,127,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119808823,0,25236877,4.128,5.0,423572,67,1,-2.393,-1.0,2.185,0,1.208966221,12.589780663,67,118,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119809341,0,25236877,4.56,4.888,454459,69,1,-2.301,-1.0,3.102,0,1.243523884,12.555222999,77,160,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119997531,0,25236877,4.148,4.888,454459,69,1,-2.301,-1.0,2.166,0,1.243523884,12.555222999,77,117,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
122047108,0,25236877,4.484,4.888,454459,69,1,-2.301,-1.0,3.83,0,1.243523884,12.555222999,77,191,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119618712,0,25236877,4.219,4.888,454459,69,1,-2.301,-1.0,2.135,0,1.243523884,12.555222999,77,116,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
